time,source_ip,destination_ip,protocol,port,packet_size
08:02:07,172.16.0.82,8.8.4.4,ICMP,0,100
08:02:17,192.168.0.199,8.8.8.8,ICMP,0,64
08:06:32,172.16.2.82,93.184.216.34,UDP,123,1379
08:09:39,192.168.1.212,104.18.0.1,TCP,3389,580
08:09:57,10.0.0.229,208.67.220.220,ICMP,0,97
08:09:57,10.0.0.25,8.8.8.8,TCP,993,1177
08:11:32,192.168.0.115,93.184.216.34,UDP,8080,778
08:11:53,192.168.0.183,208.67.222.222,ICMP,0,107
08:12:16,172.16.2.43,192.168.1.90,TCP,123,432
08:13:10,10.0.0.235,13.107.42.14,TCP,587,1091
08:13:13,172.16.0.129,208.67.220.220,TCP,143,1127
08:14:24,192.168.0.164,10.0.0.146,ICMP,0,88
08:14:28,172.16.1.55,172.16.1.200,TCP,12835,1323
08:14:58,10.0.0.13,10.0.0.188,UDP,60812,235
08:17:55,192.168.0.249,8.8.4.4,TCP,49916,1270
08:18:25,172.16.0.171,192.168.0.226,UDP,5353,560
08:18:47,10.0.0.204,216.58.214.46,UDP,993,1203
08:20:49,192.168.0.12,9.9.9.9,TCP,500,200
08:20:51,192.168.1.17,216.58.214.46,UDP,4500,542
08:21:09,172.16.2.6,1.0.0.1,ICMP,0,123
08:25:42,192.168.1.21,1.1.1.1,UDP,53,228
08:25:59,172.16.2.163,8.8.8.8,UDP,995,1221
08:26:12,172.16.1.195,149.112.112.112,UDP,22280,256
08:37:02,192.168.0.254,172.16.1.62,ICMP,0,124
08:38:59,192.168.0.69,1.0.0.1,ICMP,0,110
08:39:27,10.0.0.63,172.16.2.157,TCP,3389,817
08:49:30,172.16.1.207,172.217.14.206,ICMP,0,78
08:51:09,172.16.2.8,1.1.1.1,UDP,58080,1327
08:51:47,172.16.2.2,192.168.0.78,TCP,22,473
08:52:46,192.168.1.124,216.58.214.46,TCP,67,175
08:53:01,172.16.1.134,9.9.9.9,ICMP,0,83
08:56:14,172.16.1.105,208.67.220.220,UDP,3306,107
08:56:40,10.0.0.81,216.58.214.46,UDP,21,465
08:56:46,192.168.1.27,13.107.42.14,TCP,19667,512
08:57:49,192.168.0.109,13.107.42.14,TCP,22,284
08:58:20,172.16.2.234,52.84.13.5,ICMP,0,103
08:58:51,172.16.2.51,1.0.0.1,TCP,22,328
09:01:48,172.16.0.172,9.9.9.9,UDP,40407,1246
09:02:38,172.16.2.133,104.18.0.1,TCP,27733,238
09:05:18,172.16.0.221,149.112.112.112,ICMP,0,103
09:06:08,172.16.2.101,192.168.1.14,TCP,3389,150
09:06:36,172.16.1.47,1.1.1.1,TCP,143,1216
09:11:27,172.16.2.96,104.18.0.1,TCP,32754,258
09:12:32,172.16.1.72,149.112.112.112,UDP,47528,355
09:14:00,10.0.0.146,1.1.1.1,UDP,25,1188
09:15:33,192.168.1.79,13.107.42.14,TCP,4500,356
09:16:16,192.168.1.179,192.168.0.138,UDP,7413,792
09:18:55,192.168.1.144,172.217.14.206,TCP,123,590
09:20:09,192.168.1.45,8.8.4.4,UDP,67,247
09:21:04,172.16.0.121,208.67.220.220,TCP,80,944
09:21:33,172.16.0.231,172.16.1.51,ICMP,0,77
09:21:38,10.0.0.104,172.16.2.238,UDP,62315,810
09:24:23,192.168.0.230,13.107.42.14,UDP,21,343
09:24:27,192.168.1.242,172.16.0.206,TCP,48550,1151
09:24:56,172.16.1.27,1.0.0.1,TCP,1900,726
09:25:25,10.0.0.148,208.67.222.222,TCP,41951,255
09:28:34,192.168.1.67,151.101.65.140,UDP,58008,1008
09:32:00,172.16.2.35,9.9.9.9,TCP,110,488
09:32:23,192.168.1.160,172.16.1.169,TCP,587,1215
09:32:24,10.0.0.222,93.184.216.34,TCP,22,381
09:33:18,10.0.0.16,216.58.214.46,TCP,1900,284
09:38:23,192.168.0.45,172.16.0.55,UDP,25264,380
09:39:28,10.0.0.31,149.112.112.112,UDP,587,501
09:45:16,192.168.0.117,208.67.222.222,TCP,1900,359
09:47:34,172.16.2.36,172.16.1.158,UDP,14488,373
09:47:51,172.16.1.249,1.0.0.1,ICMP,0,114
09:50:48,172.16.1.117,208.67.222.222,TCP,123,232
09:52:24,10.0.0.46,9.9.9.9,TCP,63143,718
10:03:51,172.16.1.145,208.67.222.222,TCP,21,276
10:04:10,192.168.0.198,192.168.1.1,UDP,22,280
10:05:42,192.168.1.28,208.67.222.222,UDP,161,1336
10:06:30,10.0.0.12,1.1.1.1,UDP,50915,1266
10:07:42,172.16.2.194,208.67.222.222,TCP,40522,786
10:07:53,172.16.0.197,1.1.1.1,TCP,587,1155
10:08:46,172.16.2.184,149.112.112.112,ICMP,0,98
10:09:42,172.16.2.10,142.250.80.46,TCP,10592,231
10:11:33,10.0.0.227,149.112.112.112,UDP,3389,166
10:11:48,172.16.0.173,192.168.0.148,UDP,17276,257
10:12:18,172.16.2.83,151.101.65.140,ICMP,0,75
10:14:24,172.16.1.24,216.58.214.46,TCP,38800,1291
10:16:12,10.0.0.133,9.9.9.9,UDP,4500,1032
10:16:25,172.16.0.138,8.8.8.8,TCP,443,1405
10:19:19,172.16.1.124,9.9.9.9,TCP,43958,1194
10:19:40,172.16.1.5,216.58.214.46,UDP,47497,1343
10:23:49,172.16.1.64,216.58.214.46,UDP,110,950
10:24:47,192.168.0.27,208.67.220.220,TCP,587,487
10:25:02,10.0.0.39,151.101.65.140,TCP,32261,831
10:27:18,10.0.0.114,216.58.214.46,ICMP,0,93
10:27:38,172.16.1.124,208.67.220.220,UDP,67,160
10:28:21,10.0.0.36,151.101.65.140,TCP,15184,306
